STATE,RATE,DEATHS,URL
AL,8.1,374,/nchs/pressroom/states/alabama.htm
AK,4.7,37,/nchs/pressroom/states/alaska.htm
AZ,5,322,/nchs/pressroom/states/arizona.htm
AR,7.7,217,/nchs/pressroom/states/arkansas.htm
CA,4.6,1813,/nchs/pressroom/states/california.htm
CO,3.3,177,/nchs/pressroom/states/colorado.htm
CT,2.8,99,/nchs/pressroom/states/connecticut.htm
DE,6.6,57,/nchs/pressroom/states/delaware.htm
FL,6.2,1158,/nchs/pressroom/states/florida.htm
GA,6.6,658,/nchs/pressroom/states/georgia.htm
HI,2.2,30,/nchs/pressroom/states/hawaii.htm
ID,2.4,36,/nchs/pressroom/states/idaho.htm
IL,6.2,792,/nchs/pressroom/states/illinois.htm
IN,5.7,364,/nchs/pressroom/states/indiana.htm
IA,2.5,78,/nchs/pressroom/states/iowa.htm
KS,3.6,104,/nchs/pressroom/states/kansas.htm
KY,4.7,203,/nchs/pressroom/states/kentucky.htm
LA,11.7,538,/nchs/pressroom/states/louisiana.htm
ME,2,23,/nchs/pressroom/states/maine.htm
MD,6.7,387,/nchs/pressroom/states/maryland.htm
MA,1.6,110,/nchs/pressroom/states/massachusetts.htm
MI,6.3,589,/nchs/pressroom/states/michigan.htm
MN,1.9,101,/nchs/pressroom/states/minnesota.htm
MS,11.4,332,/nchs/pressroom/states/mississippi.htm
MO,7.5,441,/nchs/pressroom/states/missouri.htm
MT,2.9,30,/nchs/pressroom/states/montana.htm
NE,3.4,63,/nchs/pressroom/states/nebraska.htm
NV,6.3,176,/nchs/pressroom/states/nevada.htm
NH,0,17,/nchs/pressroom/states/newhampshire.htm
NJ,4.4,372,/nchs/pressroom/states/newjersey.htm
NM,6.8,135,/nchs/pressroom/states/newmexico.htm
NY,3.4,662,/nchs/pressroom/states/newyork.htm
NC,5.6,551,/nchs/pressroom/states/northcarolina.htm
ND,0,15,/nchs/pressroom/states/northdakota.htm
OH,5.2,578,/nchs/pressroom/states/ohio.htm
OK,6.6,250,/nchs/pressroom/states/oklahoma.htm
OR,2.4,99,/nchs/pressroom/states/oregon.htm
PA,5.2,620,/nchs/pressroom/states/pennsylvania.htm
RI,2.5,27,/nchs/pressroom/states/rhodeisland.htm
SC,7.6,363,/nchs/pressroom/states/southcarolina.htm
SD,3.1,26,/nchs/pressroom/states/southdakota.htm
TN,6,379,/nchs/pressroom/states/tennessee.htm
TX,5.2,1389,/nchs/pressroom/states/texas.htm
UT,2,61,/nchs/pressroom/states/utah.htm
VT,0,16,/nchs/pressroom/states/vermont.htm
VA,4.1,339,/nchs/pressroom/states/virginia.htm
WA,3.1,211,/nchs/pressroom/states/washington.htm
WV,5.9,103,/nchs/pressroom/states/westvirginia.htm
WI,3,166,/nchs/pressroom/states/wisconsin.htm
WY,4.4,24,/nchs/pressroom/states/wyoming.htm
